ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Promotion,Content_type
1,0,0,0,1080p,"NOT JUST AN IGL 😈 | UE CLUTCHES | RGExPunkk",Gaming,1,"Long Video",2024-01-22,1,1,00:07:26,1,Hindi,38,,,882,1,14577,https://youtu.be/jHHFalNaH-8?si=n9-2yH97yMZMiiBN,,0,Game
2,0,0,0,1080p,"TOP FRAGGER 😈 or IGL | ONEPLUSxUE HIGHLIGHTS | RGExPunkk",Gaming,1,"Long Video",2024-02-03,1,1,00:07:57,1,Hindi,57,,,1285,1,22509,https://youtu.be/jpaRx6IZjFI?si=iYMM7ee1CqsFF31S,,0,Game
3,0,0,0,1080p,"UE TOURNAMENT HIGHLIGHTS",Gaming,1,"Long Video",2024-01-18,1,1,00:13:19,1,Hindi,75,,,899,1,14283,https://youtu.be/3sFlkyfelps?si=bkg0KNnCgJyqhPiV,,0,Game
4,0,0,0,1080p,"‘SHOTGUN’ era",Gaming,1,"Long Video",2024-01-14,1,1,00:04:04,1,Hindi,34,,,794,1,11232,https://youtu.be/Ri2hEV2a10g?si=FB_ZIhXyk-bbRZ_t,,0,Game
5,0,0,0,1080p,"13 FINISHES WWCD🥶 | ESL LAN QUARTER FINALS | Team RGE",Gaming,1,"Long Video",2024-01-08,1,1,00:07:40,1,Hindi,39,,,898,1,12484,https://youtu.be/BoBaTeFc4a8?si=B7Bi1xuz1_-Kkezs,,0,Game
6,0,0,0,1080p,"ALMOST 1 vs 4 CLUTCH AGAINST TEAM OMEGA 🥶🔥",Gaming,1,"Long Video",2024-01-05,1,1,00:01:20,1,Hindi,40,,,756,1,14114,https://youtu.be/lvXYk4GnGEk?si=UOGqv_QYUougNg8F,,0,Game
7,0,0,0,1080p,"NEW TEAM DOMINATION 🔥💪🏿 | UE HIGHLIGHTS | BGMI",Gaming,1,"Long Video",2024-01-02,1,1,00:08:38,1,Hindi,48,,,1053,1,14121,https://youtu.be/BKGvFOG3Oo0?si=W2T4aXZn-RX4-izP,,0,Game
8,0,0,0,1080p,"PRACTICE !",Gaming,1,"Live Stream",2024-02-07,1,1,03:11:41,1,Hindi,1,,,1541,1,17535,https://www.youtube.com/live/xghE9HGdH2k?si=K-2X_R30lPkjQRvO,,0,Game
9,0,0,0,1080p,"PRACTICE !",Gaming,1,"Live Stream",2024-02-06,1,1,02:58:22,1,Hindi,5,,,1863,1,20101,https://www.youtube.com/live/otdeHHWfavw?si=L5d5F5JMudBf5dWq,,0,Game
10,0,0,0,1080p,"BAHUT DINO BAAD! KYA HAAL | SCRIMS LIVE",Gaming,1,"Live Stream",2024-01-27,1,1,01:45:58,1,Hindi,6,,,851,1,12130,https://www.youtube.com/live/ALKUGIvlYLM?si=W6TR3DZO34N2Gh9V,,0,Game
11,0,0,0,1080p,"hiiii ^_^ | SCRIMS LIVE",Gaming,1,"Live Stream",2024-01-18,1,1,04:24:50,1,Hindi,2,,,1410,1,18246,https://www.youtube.com/live/YPwllQeaRBQ?si=MlVMypw2Py89KuZ9,,0,Game
12,0,0,0,1080p,"TOURNAMENT POV | BGMI",Gaming,1,"Live Stream",2024-01-09,1,1,05:51:53,1,Hindi,9,,,1567,1,24197,https://www.youtube.com/live/teOoWPTENLQ?si=sz-OwgSlJut2xb_Z,,0,Game
13,0,0,0,1080p,"BAHUT DINO BAAD! KYA HAAL | SCRIMS LIVE",Gaming,1,"Live Stream",2024-01-15,1,1,05:35:51,1,Hindi,12,,,2577,1,35492,https://www.youtube.com/live/LY1DrgLJj_4?si=Yy9mOlVUdDqCSc3G,,0,Game
