ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Pramotion,Content_type
1,0,0,0,1440p,"Day 1/75 | PLAYING CYBERPUNK | BGMI CRATE OPENING DONE | Scout Is Live",Gaming,1,Livestream,2023-12-28,1,1,03:07:36,0,Hindi,62,,"#Bgmi #Scout #Pubg #Nostalgia",28449,1,310233,https://www.youtube.com/live/TY6kQQn9MGM?si=bUtfbFngPCnOyZzk,,0,Game
2,1,1,0,1080p,"EPIC 21 Finishes WWCD In SCRIMS | Solo 7 Finishes",Gaming,1,Longvideo,2023-12-26,1,1,00:07:34,0,Hindi,173,,#Partnership,11017,1,96106,https://youtu.be/M9lpk4eyTvc?si=ifOu3HaPCAAiPLxX,MamaEarth,1,Game
3,0,0,0,1080p,"CRAZY 1v4 In SCHOOL APARTMENTS",Gaming,1,Shortvideo,2023-12-31,1,1,00:00:53,0,Hindi,46,,"#shorts #bgmi #gamingp",10483,1,66596,https://youtube.com/shorts/722nam8C3Tw?si=4J4BrzIiczr1Elmd,,0,Game
4,0,0,0,1440p,"5/75 || THE FINALS || WELCOME TO 2024 || Sc0ut is LIVE | BGMI DONE",Gaming,1,Livestream,2024-01-01,1,1,05:20:02,0,Hindi,32,,"Bgmi,Scout,Pubg,Nostalgia",30728,1,393301,https://www.youtube.com/live/qqzXwAsVNV0?si=xRzL_v6SReOIiJo9,,0,Game
5,0,0,0,1080p,"SOLO 7 KILLS IN SCRIMS | EPIC 1v1 IN THE END",Gaming,1,Longvideo,2023-12-16,1,1,00:07:53,0,Hindi,243,,"scout,bgmi,gaming,pubg,scrims",12114,1,125169,https://youtu.be/S1_xFoJ19Wk?si=VN5D6tLBN1gVbYY7,,0,Game
6,0,0,0,1080p,"*LUCKIEST* UMP GLACIER CRATE OPENING",Gaming,1,Shortvideo,2023-12-30,1,1,00:00:53,0,Hindi,36,," #shorts #bgmi #gaming",10078,1,51901,https://youtube.com/shorts/KhTmvQ7QukE?si=g5B64lS5XvBjVY2L,,0,Game
7,0,0,0,1440p,"Day 4/75 | GETTING INTO NEW YEAR 🎉",Gaming,1,Livestream,2023-12-31,1,1,02:25:50,0,Hindi,87,," #shorts #bgmi #gaming",20752,1,217426,https://www.youtube.com/live/ao8j17y4MvY?si=zYz8Iss__wJ19hEJ,,0,Game
8,0,0,0,1080p,"SOLO Vikendi WIN & INTENSE Miramar Play In SCRIMS",Gaming,1,Longvideo,2023-12-13,1,1,00:07:55,0,Hindi,400,," #shorts #bgmi #gaming",20110,1,191417,https://youtu.be/T_EvB4nv6OE?si=CzNujHafJoOms45g,,0,Game
9,0,0,0,1080p,"X-SUIT, RANVEER SINGH VOICE PACK & SCAR-L CRATE OPENING | *CRAZY*",Gaming,1,Longvideo,2023-12-02,1,1,00:09:07,0,Hindi,350,,"scout,scout bgmi,scout crate opening,scout glacier,scout opening,scout funny,scout bgmi funny,bgmi,bgmi live",30154,1,329952,https://youtu.be/OhUT_n6oAk8?si=B-BCXruU1yasqN9O,,0,Game
10,0,0,0,1080p,"SOLO 8 KILLS IN SCRIMS 😱",Gaming,1,Shortvideo,2023-12-28,1,1,00:01:00,0,Hindi,82,,"#shorts #bgmi #gaming",10722,1,74010,https://youtube.com/shorts/GIs0Ge2JSnc?si=fFRVbt1H8GSYLtAp,,0,Game
